country_name,cow_code,independence,labor_workinjury_firstlaw,labor_workinjury_firstlaw_source,labor_workinjury_firstins,labor_workinjury_firstins_source,labor_workinjury_first_fund,labor_workinjury_first_fund_source,labor_workinjury_first_socins,labor_workinjury_first_socins_source,labor_workinjury_firstnat,labor_workinjury_firstnat_carriedover,labor_workinjury_firstlaw_programtype,**_source,labor_workinjury_firstlaw_sspw,labor_workinjury_firstlaw_whitecollar,labor_workinjury_firstlaw_whitecollar_coverage,labor_workinjury_firstlaw_whitecollar_fullcoverage,**_source,labor_workinjury_firstlaw_bluecollar,labor_workinjury_firstlaw_bluecollar_coverage,labor_workinjury_firstlaw_bluecollar_fullcoverage,**_source,labor_workinjury_firstins_bluecollar_fullcoverage,**_source,labor_workinjury_firstlaw_agriworkers,labor_workinjury_firstlaw_agriworkers_coverage,labor_workinjury_firstlaw_agriworkers_fullcoverage,**_source,workinjury_replacement_rate_perm_2020,workinjury_duration_perm_2020,workinjury_replacement_rate_temp_2020,workinjury_duration_temp_2020,Region,global_south,workinjury_coverage_GEIP,workinjury_coverage_WSPR,colonial_history
Oman,698,1971,1977,SSPW 1999,1977,Mallat 1997,,,1977,Mallat 1997,1977,no,Risk-Pooling,Mallat 1997,1977,,,1977,Mallat 1997; SSPW 1999,1977,,1977,Malat 1997; SSPW 1999,1977,Malat 1997; SSPW 1999,,,1977,Malat 1997; SSPW 1999,70,unlimited,100,6 months,Western Asia,1,0.402,9.5,Portugal
Pakistan,770,1947,1923,"ILO 1923, p 717",1965,Anderson et al 1991; SSPW 1967,,,1965,Anderson et al 1991; SSPW 1967,1965,yes,Employer liability,ILO LS 1923; ,1923,,,none,,1923,certain industries only,1973,SSPW 1967; ILO LS 1973,none,SSPW 2018,none,,none,SSPW 2018,65,60 months,60,6 months,Southern Asia,1,0.286,2.7,UK
Palau,986,1994,1987,SSPW 2018,1987,SSPW 2018,,,1987,SSPW 2018,1994,yes,Risk-Pooling,SSPW 2018,,,,2010,SSPW 2010,1987,,2010,SSPW 2018,2010,SSPW 2010,,,2010,SSPW 2010,NA,NA,NA,NA,Micronesia,0,NA,NA,None
Panama,95,1903,1916,ILO 1935 (Report on Social Insurance),1916,Ricord 1953,1941,ILO LS 1943,1916,Ricord 1953,1916,no,Risk-Pooling,Ricord 1953,1916,1916,only in Panama and Colon,1943,ILO LS 1943,1916,"Certain industries (""mines, salt works, quarries, factories, metal-working undertakings, and establishments where explosives or inflammable or poisonous products, etc., are manufactured"") (ILO 1935), and only in Panama and Colon (where about 1/3 of the countries workers are located) (Farman 1947)",1943,ILO LS 1943,1943,ILO LS 1943,1943,"only if machines are used, or 10 or more employees",1947,ILO LS 1943; SSPW 1949; ILO LS 1947,55,unlimited,73.3,unlimited,Latin America and the Caribbean,1,0.596,60.2,Spain
Papua New Guinea,910,1975,1947,ILO LS 1947,none,SSPW 2018,,,none,SSPW 2018,1975,yes,Employer liability,SSPW 2018,1958,,,1978,SSPW 2018,1947,,1978,SSPW 2018,1978,SSPW 2018,,,1978,SSPW 2018,70,unlimited,NA,NA,Melanesia,1,0.064,20.5,UK
Paraguay,150,1846,1927,"ILO LS 1927, p. 1131",1943,ILO LS 1943,,,1943,ILO LS 1943,1927,no,Employer liability,ILO 1935,1927,1927,only larger enterprises,1943,ILO LS 1943,1927,"essentially all industrial jobs, but only in enterprises with more than 6 employees",1943,ILO LS 1927; ILO LS 1943,1943,ILO LS 1943,,,1963,ILO LS 1961; SSPW 1973,75,unlimited,75,12 months,Latin America and the Caribbean,1,0.321,22.4,Spain
Peru,135,1839,1911,ILO 1935,1936,ILO LS 1936,,,1936,ILO LS 1936,1911,no,Employer liability,Meeker 1914:165,1911,,,1972,ILO LS 1972; SSPW 1973,1911,,1911,Meeker 1914:165,1972,ILO LS 1972; SSPW 1973,,,1972,ILO LS 1972; SSPW 1973,80,unlimited,100,11 months,Latin America and the Caribbean,1,0.395,7.4,Spain
Philippines,840,1946,1927,"Farman and Hale (1949, p. 130)",1946,"Farman and Hale (1949, p. 130)",,,1946,Farman and Hale 1949,1946,yes,Risk-Pooling,"San Agustin 1930, Farman and Marren Hale (1949, p. 130)",1928,1954,,1974,SSPW 1981,1927,,1927,Farman and Hale 1949,1974,NATLEX; SSPW 1981,1954,"unclear, code as not complete to be safe",1974,SSPW 1981,60,unlimited,90,4 months,South-eastern Asia,1,0.458,27.8,Spain
Poland,290,1918,1919,Chylak 2015; ILO 1035 (Report on Social Insurance),1924,Poland 1924,,,1924,Poland 1924,1919,no,Risk-Pooling,US Bureau of Labor 1922,1883,1924,unclear,1927,Poland 1927,1919,Only the parts of Poland formerly occupied by Germany and Austria. It extended to the former Russian part in 1924.,1924,Besson 1927; ILO 1935,1924,Poland 1924,1924,only 30 Hectares or more,1927,ILO LS 1933,100,12 months,100,6 months,Eastern Europe,0,1,100,None
Portugal,235,1816,1913,ILO 1935,1913,ILO 1935,,,1913,Meeker 1914,1913,no,Risk-Pooling,"Meeker (1914): Workmen's Compensation Laws of the United States and Foreign Countries, p. 166 (Zotero)",1913,,,1919,ILO 1935 (Report on Social Insurance),1913,,1913,Meeker 1914; US Bureau of Labor Statistics 1917,1965,ILO LS 1965,1913,,1919,ILO 1935 (Report on Social Insurance),90,unlimited,70,unlimited,Southern Europe,0,0.773,77.3,None
Puerto Rico,6,1953,1916,Rohrlich 1978,1918,Rohrlich 1978,,,1918,Rohrlich,1953,yes,Employer liability,Rohrlich 1978; US 1934,,,,1935,Rohrlich 1978,1916,,1928,Rohrlich 1978; inferred,1928,inferred,,,1928,inferred,NA,NA,NA,NA,Latin America and the Caribbean,1,NA,100,Spain
Qatar,694,1971,2004,SSPW 2017,2004,SSPW 2014,,,2004,SSPW 2014,2004,no,Employer liability,SSPW 2017,2004,,,2004,SSPW 2014,,,2004,SSPW 2018,2004,SSPW 2014,,,2004,SSPW 2014,100,unlimited,100,6 months,Western Asia,0,NA,NA,UK
"Vietnam, Republic of ",817,1953,1935,ILO LS 1935,1961,SSPW 1973 (North only),,,1961,SSPW 1973 (North only),1953,yes,Employer liability,US Army 1943,1947,,,1981,SSPW 1981,1935,"Covers all formal blue-collar workers, probably not implemented or extremem barriers to access, but nothing legal that we can find",1935,ILO LS 1935,1981,SSPW 1981,,,1981,SSPW 1981,NA,NA,NA,NA,South-eastern Asia,1,0.304,26.2,France
Romania,360,1878,1912,"US Bureau of Labor Statistics 1917, p.556-557",1912,US Bureau of Labor Statistics 1917,,,1912,US Bureau of Labor Statistics 1917,1912,no,Risk-Pooling,Meeker 1914; US Bureau of Labor Statistics 1917,1912,1933,,1933,ILO 1935 (Report on Social Insurance),1912,,1912,Meeker 1914,1912,US Bureau of Labor Statistics 1917,,,1933,ILO 1935 (Report on Social Insurance),85,variable,85,6 months,Eastern Europe,0,0.631,63.1,None
Russia,365,1816,1903,Clark 1910,1903,Clark 1910,1903,Clark 1910,1910,Clark 1910,1903,no,Risk-Pooling,Clark 1910:743,1903,,,1922,ILO LS 1922,1903,"Metallurgical and mining establishments and factories and workshops using other than hand power, but exclusive of shops of private railroad and steamship companies and certain rural industrial establishments.",1922,Clark 1910; Goldberg 1962,1922,ILO LS 1922,,,1922,ILO LS 1922,100,unlimited,100,unlimited,Eastern Europe,0,0.744,100,None
Rwanda,517,1962,1949,ILO LS 1949,1950,ILR 1963 87(5),1950,ILR 1963 87(5),1962,ILR 1963 87(5),1962,yes,Risk-Pooling,ILR 1963 87(5),1949,,,1974,SSPW 1999,1949,"Native river workers only, Belgians covered via Belgium",1974,SSPW 1999,1974,SSPW 1999,,,1974,SSPW 2017,85,unlimited,75,6 months,Sub-Saharan Africa,1,0.045,8.5,Belgium
Samoa,990,1962,1960,SSPW 1973,1960,SSPW 1973,,,1960,SSPW 1973,1960,no,Risk-Pooling,SSPW 1973,1960,,,1960,SSPW 1973,,,1960,SSPW 1973,1978,SSPW 1999,,,1960,SSPW 1973,NA,NA,NA,NA,Polynesia,1,0.535,53.5,Various
San Marino,331,1992,1983,ILO LS 1983; SSPW 2006,1983,ILO LS 1983; SSPW 2006,,,1983,ILO LS 1983; SSPW 2006,1992,yes,Risk-Pooling,SSPW 2017,1983,,,1983,ILO LS 1983; SSPW 2006,1950,,1950,ILO LS 1950,1950,ILO LS 1950,,,1950,ILO LS 1950,90,unlimited,100,unlimited,Southern Europe,0,0.969,96.9,None
Sao Tome and Principe,403,1975,1960,ILO LS 1960,1979,SSPW 2017,,,2014,SSPW 2017,1975,yes,Risk-Pooling,SSPW 2017,1979,1960,,1979,SSPW 2019,1960,,1979,SSPW 2019,1979,SSPW 2019,,,1979,SSPW 2019,70,unlimited,98,24 months,Sub-Saharan Africa,1,0.289,20.9,Portugal
Saudi Arabia,670,1816,1947,Balcer 2014; SSPW 1961,1969,ILO LS 1969; Al-Zaid 1975,,,1969,Al-Zaid 1975; ILO LS 1969,1947,no,Risk-Pooling,Al-Zaid 1975,1969,,,1969,ILO LS 1969,1947,"Full-coverage, but met with implementation problems due to ARAMCO",1969,Balcer 2014; SSPW 1961; ILO LS 1969,1969,ILO LS 1969,1947,,1969,ILO LS 1969,100,54 months,100,unlimited,Western Asia,1,0.774,74.7,None
Senegal,433,1960,1926,"ILO LS 1926, p. 686",1958,Gerig 1966,1973,ILO LS 1973,1973,ILO LS 1973,1973,yes,Employer liability,"ILO LS 1926, p. 686",1932,,,1958,Gerig 1966,1925,"Whites only in practice, death only compensation",1958,Buell 1928;  ILO LS 1973; Gerig 1966,1973,ILO LS 1973,,,1973,ILO LS 1973,100,unlimited,63.9,unlimited,Sub-Saharan Africa,1,0.273,10,France
Serbia,345,1878,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1922,Farman and Marren Hale 1949 ,1922,no,Risk-Pooling,Bureau of Labor Statistics 1943,-99,,,1946,ILO LS 1946,,,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1958,ILO LS 1958; SSPW 1961,65,unlimited,100,unlimited,Southern Europe,0,0.662,66.2,None
Seychelles,591,1976,1970,SSPW 2017,1971,NATLEX,1971,NATLEX,1987,SSPW 2003,1976,yes,Employer liability,SSPW 2017,1970,,,1987,ILO LS 1987,1970,,1987,ILO LS 1987,1987,ILO LS 1987,1970,,1987,ILO LS 1987,40,unlimited,58,6 months,Sub-Saharan Africa,0,0.691,69.1,UK
Sierra Leone,451,1961,1940,ILO LS 1940,2001,Sierra Leone 2001,2001,Sierra Leone 2001,2016,SSPW 2019,1961,yes,Employer liability,"ILR 1941:43(3) - no fund or insurance stated, thus liability assumed",1939,,,2001,NATLEX; Sierra Leone 2001,1940,"railway employment, the operation or maintenance of mechanically propelled vehicles or aircraft, employment in factories or workshops where power is used, employment elsewhere in manufactory processes where not less than 10 persons are employed, employment in mines or quarries, employment on any mechanically propelled vessel or on any other vessel of 50 tons or over, the loading, unloading, fuelling, cleaning or painting of ships, the construction. maintenance, repair or demolition of certain buildings, of certain embankments or of canals, roads, bridges, wharves etc., lumbering where 25 persons or more are employed, the use of explosives, employment on any plantation or estate where not less than 25 persons are employed. This less than 25 persons criteria was only lifted in 2016.",2016,SSPW 2003,2016,SSPW 2019,,,none,,100,56 months,60,96 months,Sub-Saharan Africa,1,0.061,NA,UK
Singapore,830,1965,1932,Singapore 1932,1975,Singapore 1975,,,1975,Singapore 1975,1965,yes,Employer liability,Singapore 1932,1933,,,1952,ILO LS 1952,1932,Singapore 1932,1975,Singapore 1975,none,SSPW 2018,,,1975,SSPW 1981,80,72 months,97,12 months,South-eastern Asia,0,0.726,86,None
Slovakia,317,1918,1888,ILO 1935 (Report on Social Insurance),1888,ILO 1962 (Labor Review),,,1888,ILO 1962 (Labor Review),1918,yes,Risk-Pooling,ILO 1962 (Labor Review),1887,1888,,1907,ILO 1935 (Report on Social Insurance),1888,only parts of the country covered,1907,ILO 1935 (Report on Social Insurance),1907,ILO 1935 (Report on Social Insurance),,,1948,SSPW 1948,75,unlimited,45,unlimited,Eastern Europe,0,0.664,66.4,None
Slovenia,349,1992,1887,ILO 1935 (Report on Social Insurance),1922,Bureau of Labor Statistics 1943,,,1922,Farman and Marren Hale 1949 ,1992,yes,Risk-Pooling,Bureau of Labor Statistics 1943,1922,,,1946,ILO LS 1946,,,1922,Bureau of Labor Statistics 1943,1922,Bureau of Labor Statistics 1943,,,1958,ILO LS 1958; SSPW 1961,35,unlimited,100,unlimited,Southern Europe,0,0.802,80.5,Russian
Solomon Islands,940,1978,1952,Angelini 2006,1952,Angelini 2006,1952,Angelini 2006,1952,Angelini 2006,1978,yes,Risk-Pooling,Angelini 2006,1952,,,none,Angelini 2006,1952,"SBD 4,000 a year or less",1952,Angelini 2006,none,Angelini 2006,,,none,Angelini 2006,100,48 months,75,unlimited,Melanesia,1,0.145,33.3,UK
Somalia,520,1960,1972,Somalia 1972; inferred,none,inferred,,,none,inferred,1972,no,Employer liability,ILO 2007,,,,1972,SSPW 1981,,,1972,SSPW 1981,none,inferred,,,none,inferred,100,unlimited,67.5,6 months,Sub-Saharan Africa,1,NA,NA,UK
South Africa,560,1910,1914,ILO 1935,1934,South Africa 2007,1941,ILO 1941,1994,South Africa 1997; SSPW 1999,1914,no,Employer liability," Simons (1961): Death in South African Mines, p. 51ff. (Zotero)",1914,1914,,1934,ILO 1935,1911,,1941,Simons 1960,1941,Simons 1960,,,1994,South Africa 1994,75,unlimited,75,24 months,Sub-Saharan Africa,1,0.675,19.2,UK
South Korea,732,1948,1938,Kim and Duk 2012,1938,Kim and Duk 2012,,,1938,Kim and Duk 2012,1953,yes,Risk-Pooling,Kim and Duk 2012,1953,,,1988,Kim and Duk 2012,1922,"miners only, 1938 miners only also it appears",1988,Kim and Duk 2012,1988,Kim and Duk 2012,,,1988,Kim and Duk 2012,70,unlimited,75,unlimited,Eastern Asia,0,0.852,85.2,None
South Sudan,626,2011,1908,Warburg 2013,1974,SSPW 1981,,,1974,SSPW 1981,2011,yes,Employer liability,ILO LS 1932,1947,1908,government employees earning a low amount,1974,SSPW 1999,1908,government employed,1974,Cookson et al 1960 but adjusted to first independent law,1990,,,,1990,SSPW 1999,83.3,unlimited,0,0 months,Sub-Saharan Africa,1,NA,NA,UK
Spain,230,1816,1900,US Bureau of Labor Statistics 1910,1932,ILO LS 1932,,,1932,ILO LS 1932,1900,no,Employer liability,US Bureau of Labor 1910:745,1900,1932,,1932,ILO LS 1932,1900,heavy industry specified only,1932,ILO LS 1932,1956,ILO LS 1956,,,1931,SSPW 1949,100,unlimited,75,12 months,Southern Europe,0,0.483,76.2,None
Sri Lanka,780,1948,1934,ILO 2016; SSPW 1958,1958,Sri Lanka 1958,1958,Sri Lanka 1958,1958,Sri Lanka 1958,1958,yes,Employer liability,Brito-Mutunayagam et al. 1934; SSPW 1958,1934,1990,,1990,Sri Lanka 1990,1923,,1966,ILO LS 1923; Sri Lanka 1966,none,,,,1966,Sri Lanka 1966,25,12 months,100,60 months,Southern Asia,1,0.423,58,UK
St. Kitts and Nevis,60,1967,1937,ILO LS 1955,1968,ILO LS 1968,1968,ILO LS 1968,1985,SSPW 2019,1967,yes,Employer liability,Palmer 2014,1955,,,1986,SSPW 1999,1937,,1967,ILO LS 1955; independence,1986,SSPW 1999,,,1986,SSPW 1999,75,unlimited,75,6 months,Latin America and the Caribbean,1,0.806,NA,Various
St. Lucia,56,1967,1964,ILO LS 1964,1978,ILO LS 1978,1970,St. Lucia 2020,1970,ILO LS 1978,1967,yes,Employer liability,inferred,1964,,,1978,SSPW 1981,1964,,1978,SSPW 1981,1978,SSPW 1981,,,1978,SSPW 1981,65,variable,65,12 months,Latin America and the Caribbean,1,0.495,53.6,Various
St. Vincent and the Grenadines,57,1967,1939,Degazon 1941,1970,St. Vincent 1970,1970,St. Vincent 1970,1986,St. Vincent 1986,1967,yes,Employer liability,Inferred as a lack of compulsory insurance read in ILR 1943:48(4),1939,,,1986,St. Vincent and The Grenadines 1986,1939,under 250 pounds per year income,1970,St. Vincent and The Grenadines 1986,1986,St. Vincent and The Grenadines 1986,,,1986,St. Vincent and The Grenadines 1986,60,unlimited,70,6 months,Latin America and the Caribbean,1,0.594,NA,Various
Sudan,625,1956,1908,Warburg 2013,1974,SSPW 1981,,,1974,SSPW 1981,1956,yes,Employer liability,ILO LS 1932,1947,1908,government employees earning a low amount,1974,SSPW 1999,1908,government employed,1974,Cookson et al 1960 but adjusted to first independent law,1990,SSPW 1999,,,1990,SSPW 1999,83.33,unlimited,0,0 months,Northern Africa,1,0.0621,3,UK
Suriname,115,1954,1947,ILR 1948:57(4),1947,ILR 1948:57(4),,,1947,ILR 1948:57(4),1954,yes,Risk-Pooling,ILR 1948:57(4),1947,,,2014,Algorithmic interpolation,1947,,1947,ILR 1948:57(4),2014,Algorithmic interpolation,,,2014,Algorithmic interpolation,80,unlimited,80,unlimited,Latin America and the Caribbean,1,NA,NA,Netherlands
Sweden,380,1816,1901,US Bureau of Labor 1910,1916,ILO LS 1935,,,1916,US Bureau of LaborStatistics 1917,1901,no,Employer-liability,US Bureau of Labor Statistics 1910,1901,1948,,1948,ILO LS 1948,1901,,1901,US Bureau of Labor Statistics 1910,1916,US Bureau of Labor Statistics 1917,1916,,1916,ILO 1935 (Report on Social Insurance),100,unlimited,80,12 months,Northern Europe,0,0.848,84.8,None
Switzerland,225,1816,1911,ILO 1935 (Report on Social Insurance),1911,ILO 1935 (Report on Social Insurance),1911,US Bureau of Labor Statistics 1917,1911,US Bureau of Labor Statistics 1917,1911,no,Risk-Pooling,US Bureau of Labor Statistics 1917,1911,1932,"part of an unemployment law, not considered full coverage as such",1946,ILO LS 1946; ILO LS 1932,1911,,1911,"Bureu of Labor Statistics (1912): Sickness and Accident Insurance Law of Switzerland, p 16 (Zotero)",1946,ILO LS 1946,1931,"part of an unemployment insurance law, thus not considered full coverage",1946,ILO LS 1946,80,unlimited,70,unlimited,Western Europe,0,0.667,66.7,None
Syria,652,1946,1943,SSPW 1958,1959,ILO LS 1959,,,1959,ILO LS 1959,1946,yes,Employer liability,ILO LS 1959,1959,,,1959,ILO LS 1959,1911,,1911,ILO LS 1946,1959,ILO LS 1959,,,1959,ILO LS 1959,80,unlimited,96.7,unlimited,Western Asia,1,0.478,47.8,France
Taiwan,713,1949,1929,SSPW 1973,1950,ILO LS 1950,,,1950,ILO LS 1950,1950,no,Risk-Pooling,ILO LS 1950,1950,,,1988,SSPW 1999,1929,"unclear, was during Japanese rule",1950,ILO LS 1950,1979,SSPW 1981,,,1988,SSPW 1999,80,unlimited,70,12 months,Eastern Asia,0,0.741,NA,None
Tajikistan,702,1991,1929,SSPW 1949; ascesion to USSR,1929,SSPW 1949; ascension to USSR laws,,,1929,SSPW 1949; ascension to USSR law,1991,yes,Risk-Pooling,SSPW 1949; ascension to USSR law,,,,1929,SSPW 1949; ascension to USSR law,,,1929,SSPW; ascension to USSR law,1929,SSPW 1949; ascension to USSR law,,,1929,SSPW 1949; ascension to USSR law,70,unlimited,60,4 months,Central Asia,1,NA,NA,None
Tanzania,510,1961,1948,ILO LS 1948; Pratt 1960,1964,ILO LS 1964,1964,ILO LS 1964,1966,Tanzania 1966,1961,yes,Employer liability,ILO LS 1948,1948,,,1948,ILO LS 1948; Pratt 1960,1948,,1948,Marobhe 2013; Pratt 1960,1966,Tanzania 1966,,,2002,Tanzania 1997,70,unlimited,70,24 months,Sub-Saharan Africa,1,0.088,8.8,UK
Thailand,800,1816,1972,"Bureau of Labor Statistics 1972, p. 56",1972,Bureau of Labor Statistics 1972,1972,Bureau of Labor Statistics 1972,1972,"Bureau of Labor Statistics 1972, p. 56",1972,no,Risk-Pooling,"Bureau of Labor Statistics 1972, p. 56",1972,,,1998,Thailand 1998,1934,"1972 law, enterprises with at least 20 workers, less than covered by old law",1972,ILO LS 1972,1994,SSPW 1999,,,1994,SSPW 1999,70,unlimited,70,12 months,South-eastern Asia,1,0.262,31,None
Togo,461,1960,1964,ILO LS 1964,1964,ILO LS 1964,1964,ILO LS 1964,1973,Togo 1973,1964,no,Risk-Pooling,ILO LS 1964,1964,1964,,1973,SSPW 1999,1964,full,1964,ILO LS 1964,1973,SSPW 1999,,,1964,ILO LS 1964; SSPW 1967,80,unlimited,66.7,unlimited,Sub-Saharan Africa,1,0.084,8.3,France
Trinidad and Tobago,52,1962,1926,Teelucksingh 2015:99,1966,ILO LS 1966,,,1966,ILO LS 1966,1966,yes,Risk-Pooling,ILO LS 1966,1960,1966,"only under $2,880/year",1999,SSPW 1999,1926,"under 200 pounds/year, although the 1966 law has a $2,880/year cap, most blue-collar earned around $400-500 so we code this as 'full coverage'",1966,Teelucksingh 2015; ILO LS 1966,1999,SSPW 1999,,,1966,ILO LS 1966,60,unlimited,66.7,12 months,Latin America and the Caribbean,1,0.655,67.8,UK
Tunisia,616,1956,1921,Besson 1927,1958,ILO LS 1957,,,1958,ILO LS 1957,1958,yes,Employer liability,US Bureau of Labor (1910): Bulletin of the United States Bureau of Labour p. 730 (Zotero),1921,,,1970,ILO LS 1970,,,1958,ILO LS 1957,1960,ILO LS 1960,,,1958,ILO LS 1960,95,unlimited,66.7,6 months,Northern Africa,1,0.42,28.9,France
Turkey,640,1816,1923,ILO LS 1923,1923,ILO LS 1923,1923,ILO LS 1923,1936,ILO LS 1936 (paragraph 101),1923,no,Risk-Pooling,ILO LS 1923,1945,,,1964,ILO LS 1964,1923,"miners, and only firms with 10 or more workers after 1936, only in 1964 are smaller firms covered",1964,SSPW 1973,1964,ILO LS 1964,,,1983,SSPW 1999,75,variable,66.7,variable,Western Asia,0,0.684,60.3,None
Turkmenistan,701,1991,1924,SSPW 1949; ascesion to USSR,1924,SSPW 1949; ascension to USSR laws,,,1924,SSPW 1949; ascension to USSR law,1991,yes,Risk-Pooling,SSPW 1949; ascension to USSR law,1995,,,1924,SSPW 1949; ascension to USSR law,1924,,1924,SSPW 1949; ascension to USSR laws,1924,SSPW 1949; ascension to USSR law,,,1924,SSPW 1949; ascension to USSR laws,70,unlimited,100,unlimited,Central Asia,1,0.526,NA,None
Uganda,500,1962,1946,ILO LS 1946,1969,Cotran & Rubin 2014:122,,,1969,Cotran & Rubin 2014:122,1969,yes,Employer liability,ILO LS 1946,1946,,,1969,Contra and Rubin 2014; SSPW 1973,1946,Natives only,1969,ILO LS 1946; SSPW 1973,1969,Contra and Rubin 1994,1946,Natives only,2000,Uganda 2000,100,60 months,67,12 months,Sub-Saharan Africa,1,0.16,NA,UK
Ukraine,369,1922,1922,SSPW 2017,1922,Abramson 1929,,,1922,Abramson 1929,1922,no,Risk-Pooling,Abramson 1929,1912,,,1922,ILO LS 1922,1922,ILO LS 1922,1922,ILO LS 1922,1922,ILO LS 1922 (USSR),,,1922,ILO LS 1922 (USSR),70,unlimited,100,unlimited,Eastern Europe,0,0.641,NA,None
United Arab Emirates,696,1971,1980,United Arab Emirates 1980,none,SSPW 2018,,,none,SSPW 2018,1980,no,Employer liability,United Arab Emirates 1980,,,,1980,United Arab Emirates 1980,1980,division by ethnicity (Emerati/foreign),1980,United Arab Emirates 1980,none,inferred,,,1980,United Arab Emirates 1980,NA,NA,NA,NA,Western Asia,0,NA,1.4,UK
United Kingdom,200,1816,1880,UK 1880; Lambiotte 1983,1934,ILO 1935 (Report on Social Insurance),,,1934,ILO 1935 (Report on Social Insurance),1880,no,Employer liability,ILO 1935 (Report on Social Insurance),1897,1906,,1906,Ball 1907; ILO 1935 (Report on Social Insurance),1880,"all ""manual labor"" at the time, but not all blue-collar",1897,UK 1880; Lambiotte 1983; ILO 1935 (Report on Social Insurance),1946,ILO LS 1946,1900,full,1900,Packer 1912:15; ILO 1935 (Report on Social Insurance),35,unlimited,30,6 months,Northern Europe,0,0.68,68,None
United States of America,2,1783,1908,Hackett 1908; ILO 1935,1916,Szymendera 2017,1916,Szymendera 2017,1956,Kearney 2005,1908,no,Employer liability,Hackett 1908,1908,,,1961,SSPW 1967,1908,Railroad and hazardous federal blue-collar workers,1961,Kearney 2005; SSPW 1967,none,SSPW 2018,1959,,1959,Levine 1962,60,unlimited,66.7,1.5 months,Northern America,0,0.848,84.8,UK
Uruguay,165,1882,1920,Martin & Smith 1927; ILO 1935 (Report on Social Insurance),1934,Tixier 1935,1920,ILO LS 1920,1934,ILO 1935 (Report on Social Insurance),1920,no,Risk-Pooling,Martin and Smith 1927; ILO LS 1920,1914,,,1934,ILO 1935,1920,,1920,Martin and Smith 1927; ILO LS 1920,1934,ILO 1935,1920,1920,1920,Martin and Smith 1927; ILO LS 1920,102,unlimited,66.7,unlimited,Latin America and the Caribbean,1,0.546,71.4,None
Uzbekistan,704,1991,1924,SSPW 1949; ascesion to USSR,1924,SSPW 1949; ascension to USSR laws,,,1924,SSPW 1949; ascension to USSR law,1991,yes,Risk-Pooling,SSPW 1949; ascension to USSR law,1997,,,1924,ILO LS 1922 (USSR),1924,,1924,ILO LS 1922 (USSR),1924,ILO LS 1922 (USSR),,,1924,ILO LS 1922 (USSR),65,unlimited,100,unlimited,Central Asia,1,0.441,44.1,None
Vanuatu,935,1981,1983,SSPW 2017,none,SSPW 2017,,,none,SSPW 2017,1983,no,Employer liability,SSPW 2017,,,,-99,-99,-99,,1983,SSPW 2017,-99,-99,,,-99,-99,NA,NA,NA,NA,Melanesia,1,NA,28.1,Various
Venezuela,101,1841,1906,US Bureau of Labor Statistics 1917,1946,ILO LS 1946,,,1946,ILO LS 1946,1906,no,Employer liability,US Bureau of Labor. 1930,1923,1940,,1946,ILO LS 1946,1906,Miners,1946,ILO LS 1946,1946,ILO LS 1946,,,1966,ILO LS 1966,50,unlimited,100,unlimited,Latin America and the Caribbean,1,0.579,NA,Spain
Yemen,679,1990,1991,Mallat 1997,1991,Mallat 1997,1991,SSPW 1999,1991,Mallat 1997,1991,no,Risk-Pooling,Mallat 1997,1991,,,1991,SSPW 1999,,,1991,SSPW 1999,1991,SSPW 1999,,,1991,SSPW 1999,20,12 months,NA,NA,Western Asia,1,0.377,9.9,UK
Zambia,551,1964,1929,Parpart and Freund 1983,1945,Weeks and Macy 1956,,,1963,Fultz and Pieris 1999,1965,no,Employer liability,ILO LS 1965,1929,,,1965,ILO LS 1965,1929,Miners,1965,Parpart and Freund 1983; Weeks and Macy 1956; ILO LS 1965,1965,SSPW 1973,,,1994,SSPW 1999,65,unlimited,50,24 months,Sub-Saharan Africa,1,0.119,NA,UK
Zimbabwe,552,1965,1922,"Lowry 1997; Speight 1923; Southern Rhodesia, 1922",1934,ILO LS 1934,,,1934,"ILO LS 1935, inferred as an extension of British law for coal miners",1965,yes,Employer liability,Lowry 1997 (bringing it inline with British colonial law),1922,,,1980,ILO LS 1980,1922,non-natives,1980,Lowry 1997; ILO 1935 (for original British laws); ILO LS 1980,1983,SSPW 1983,,,1990,SSPW 1999,65,unlimited,59.2,18 months,Sub-Saharan Africa,1,0.254,12.4,UK
